,Country,Gold,Silver,Bronze,Total
1,Estados Unidos,39,41,33,113
2,China,38,32,18,88
3,Japão,27,14,17,58
4,Grã-Bretanha,22,21,22,65
5,ROC,20,28,23,71
6,Austrália,17,7,22,46
7,Países Baixos,10,12,14,36
8,França,10,12,11,33
9,Alemanha,10,11,16,37
10,Itália,10,10,20,40
11,Canadá,7,6,11,24
12,Brasil,7,6,8,21
13,Nova Zelândia,7,6,7,20
14,Cuba,7,3,5,15
15,Hungria,6,7,7,20
16,Coreia do Sul,6,4,10,20
17,Polônia,4,5,5,14
18,República Checa,4,4,3,11
19,Quênia,4,4,2,10
20,Noruega,4,2,2,8
21,Jamaica,4,1,4,9
22,Espanha,3,8,6,17
23,Suécia,3,6,0,9
24,Suíça,3,4,6,13
25,Dinamarca,3,4,4,11
26,Croácia,3,3,2,8
27,Irã,3,2,2,7
28,Sérvia,3,1,5,9
29,Bélgica,3,1,3,7
30,Bulgária,3,1,2,6
31,Eslovênia,3,1,1,5
32,Uzbequistão,3,0,2,5
33,Geórgia,2,5,1,8
34,Taipé Chinês,2,4,6,12
35,Turquia,2,2,9,13
36,Grécia,2,1,1,4
37,Uganda,2,1,1,4
38,Equador,2,1,0,3
39,Irlanda,2,0,2,4
40,Israel,2,0,2,4
41,Catar,2,0,1,3
42,Bahamas,2,0,0,2
43,Kosovo,2,0,0,2
44,Ucrânia,1,6,12,19
45,Bielorrússia,1,3,3,7
46,Romênia,1,3,0,4
47,Venezuela,1,3,0,4
48,Índia,1,2,4,7
49,Hong Kong,1,2,3,6
50,Filipinas,1,2,1,4
51,Eslováquia,1,2,1,4
52,África do Sul,1,2,0,3
53,Áustria,1,1,5,7
54,Egito,1,1,4,6
55,Indonésia,1,1,3,5
56,Etiópia,1,1,2,4
57,Portugal,1,1,2,4
58,Tunísia,1,1,0,2
59,Estônia,1,0,1,2
60,Fiji,1,0,1,2
61,Letônia,1,0,1,2
62,Tailândia,1,0,1,2
63,Bermudas,1,0,0,1
64,Marrocos,1,0,0,1
65,Porto Rico,1,0,0,1
66,Colômbia,0,4,1,5
67,Azerbaijão,0,3,4,7
68,República Dominicana,0,3,2,5
69,Armênia,0,2,2,4
70,Quirguistão,0,2,1,3
71,Mongólia,0,1,3,4
72,Argentina,0,1,2,3
73,San Marino,0,1,2,3
74,Jordânia,0,1,1,2
75,Malásia,0,1,1,2
76,Nigéria,0,1,1,2
77,Bahrein,0,1,0,1
78,Arábia Saudita,0,1,0,1
79,Lituânia,0,1,0,1
80,Macedônia do Norte,0,1,0,1
81,Namíbia,0,1,0,1
82,Turcomenistão,0,1,0,1
83,Cazaquistão,0,0,8,8
84,México,0,0,4,4
85,Finlândia,0,0,2,2
86,Botsuana,0,0,1,1
87,Burquina Fasso,0,0,1,1
88,Costa do Marfim,0,0,1,1
89,Gana,0,0,1,1
90,Granada,0,0,1,1
91,Kuwait,0,0,1,1
92,Moldávia,0,0,1,1
93,Síria,0,0,1,1
